startdatetime,enddatetime,startdate,enddate,starttime,endtime,OC,EC,TC,SOC,chlorine,nitrate,sulfate,Na,ammonia,potassoium,Mg,Ca,Li,Be,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi
2016/8/12 8:43,2016/8/13 8:25,2016/8/12,2016/8/13,8:43,8:25,4.060490646,1.605130503,5.665621149,2.092598223,0.085498869,1.180606462,5.6912544,0.190990498,1.989509356,0.012084921,0.019995551,0.066857843,0.219080596,,0.007384739,5.949638219,0.566163339,4.603154104,9.683854677,0.073847392,0.563701759,10.58479286,65.67740891,0.219080596,2.301577052,1.66895106,0.475084889,1.319406738,,0.580932817,0.061539493,7.845054615,0.103386349,31.7273012,0.349544322
2016/8/13 8:42,2016/8/14 8:43,2016/8/13,2016/8/14,8:42,8:43,3.488285544,1.011907906,4.50019345,2.247684922,0.079756208,0.329259539,1.786215184,0.137428361,0.296773894,0.025670918,0.015740316,0.058169097,0.184613355,,0.004858246,3.7019836,0.138460017,0.315786003,7.557001955,0.029149477,0.264774418,3.39591409,13.45977108,0.128743524,0.99594047,0.896346423,0.828330976,1.498768951,,0.233195817,0.138460017,5.256622382,0.184613355,50.54762253,0.527119712
2016/8/14 8:58,2016/8/15 8:38,2016/8/14,2016/8/15,8:58,8:38,5.913548548,2.082126387,7.995674935,3.36085845,0.127442917,2.658914459,2.547461478,0.174093534,1.092632431,0.081855293,0.020559905,0.105428964,0.165158132,,,4.488850129,0.332781311,0.522589911,9.648192974,0.179948413,0.38701234,8.137119317,33.18199428,0.147902805,1.01559926,1.188152533,0.801140193,0.670492716,,0.298270657,0.130647478,6.382006032,0.162693085,37.47364067,0.261294955
2016/8/15 8:46,2016/8/16 8:19,2016/8/15,2016/8/16,8:46,8:19,3.407023279,1.070852827,4.477876106,2.094156095,0.060362534,0.76872637,1.634577791,0.16165918,0.472816544,0.004012121,0.008829586,0.042050654,0.225430531,,0.104044861,3.059414355,0.282407479,1.144493467,7.528388845,0.054499689,0.314611841,4.449156422,35.55113798,0.121385671,1.045403124,0.604451095,0.329475392,0.614360129,,0.222953273,0.05202243,5.610990699,0.076795016,20.87338085,0.22790779
2016/8/16 8:30,2016/8/17 8:08,2016/8/16,2016/8/17,8:30,8:08,3.935007551,1.413295555,5.348303107,2.202305064,0.37085452,1.59206603,3.711589714,0.132361119,1.186589818,0.027594872,0.017945366,0.095117784,0.239446784,,0.054307518,2.944948586,1.039248411,3.646009272,8.629958304,0.120957654,1.078744788,6.953830819,37.74619349,0.333250678,1.049122505,0.87138881,0.441865714,0.631942027,,0.434460143,0.066650136,5.243144004,0.101209465,27.66721186,0.274006113
2016/8/17 8:16,2016/8/19 8:38,2016/8/17,2016/8/19,8:16,8:38,4.353030867,2.600708696,6.953739563,1.164558073,0.385579067,14.72897563,6.451352956,0.151529009,3.945479636,0.120245984,0.033674324,0.050804844,0.340145872,0.003618573,0.018092866,3.61374834,2.003483309,2.5293826,16.07852649,0.11700053,1.506532602,12.37552002,63.60365946,0.483682605,2.188030537,2.295381539,1.148293865,0.581384079,0.089258137,1.061448111,0.183341037,4.956238962,0.320846815,75.81875606,0.436641155
2016/8/19 8:52,2016/8/20 8:43,2016/8/19,2016/8/20,8:52,8:43,4.091278455,1.484944621,5.576223076,2.270734105,0.360636397,5.710530169,3.868096464,0.182431069,2.381234545,0.114743023,0.01853867,0.110695846,0.239717614,,0.024460981,5.219973348,0.450082051,1.406506408,12.19379903,0.066044649,0.496557915,8.845090734,56.87422695,0.249502006,1.802774301,1.21081856,1.115420734,0.689799665,0.019568785,0.523464994,0.207918339,4.062968946,0.190795652,53.42033643,0.359576421
2016/8/20 8:57,2016/8/21 8:27,2016/8/20,2016/8/21,8:57,8:27,6.979250612,3.258369422,10.23762003,2.984484775,0.143241943,5.518530343,7.272486979,0.255770971,3.413807332,0.121232348,0.026846073,0.088281064,0.322728815,0.004965059,0.027307823,4.798729233,0.484093223,1.772525956,15.28989826,0.089371057,0.633044984,13.74824754,62.73599919,0.389757108,2.735747343,1.320705614,0.950808741,1.005424387,,0.861437684,0.163846937,6.352792606,0.201084877,58.39653789,0.511401046
2016/8/21 8:40,2016/8/22 8:45,2016/8/21,2016/8/22,8:40,8:45,6.376642068,2.340214962,8.716857029,3.507534987,0.040131075,4.538396602,8.228000786,0.27386292,3.509183951,0.195991944,0.024029274,0.085938786,0.307644658,0.004844798,0.009689596,5.535181443,0.760633249,0.428764602,15.20055298,0.111430349,1.002873137,21.4333853,113.0800022,0.397273416,2.504760443,2.681595561,1.71021361,1.804687166,0.053292775,1.206354643,0.273731074,6.591347355,0.341558242,106.580706,0.472367782
2016/8/22 8:52,2016/8/23 8:57,2016/8/22,2016/8/23,8:52,8:57,5.642630983,2.72306703,8.365698013,2.304146687,0.20840705,4.574005866,5.637729662,0.221032852,2.51766462,0.069246838,0.05480179,0.201472617,0.511126164,0.009689596,0.075094365,14.17345585,1.870091936,2.650104376,17.57934868,0.181679916,1.329896986,24.00597291,94.47597876,0.462678186,2.550786022,1.184553053,0.968959552,2.335192521,0.031491185,1.538223289,0.133231938,9.643569945,0.208326304,71.04411438,0.811503625
2016/8/23 9:03,2016/8/24 8:51,2016/8/23,2016/8/24,9:03,8:51,8.089425151,2.832453335,10.92187849,4.61683308,0.21268566,11.87521357,9.485306551,0.349177757,5.286918727,0.183822279,0.060768127,0.117582999,0.701053771,0.009804948,0.058829687,9.476482098,1.887452461,5.556954195,22.03171782,0.16913535,1.813915353,22.84307726,157.0286911,0.629967899,3.542037411,2.443883252,1.370241462,1.549181761,0.041671028,1.926672253,0.223062564,9.98388815,0.465735023,116.4533656,1.029519524
2016/8/24 8:58,2016/8/25 8:17,2016/8/24,2016/8/25,8:58,8:17,6.905805031,2.39097459,9.296779621,3.97446657,0.024436677,2.951283416,8.163017872,0.287954682,2.92302173,0.110727595,0.07614454,0.371117803,0.40282987,,0.025020489,6.820585247,0.810663837,2.154264086,13.95642865,0.117596297,0.84819457,13.52107215,85.2222869,0.342780697,2.126741548,1.793969047,0.948276525,1.103403556,0.047538929,0.880721206,0.155127031,7.130839308,0.280229475,65.5561827,0.675553198
2016/8/25 8:21,2016/8/26 8:12,2016/8/25,2016/8/26,8:21,8:12,4.106639951,0.990816497,5.097456448,2.891897428,0.034653056,0.310850147,0.613889087,0.13796534,0.116399175,0,0.023609587,0.271144646,0.457420345,0.004892196,0.061152453,12.07883242,0.484327424,5.567319279,9.018763699,0.132089297,0.550372073,16.15892406,39.23785964,0.107628316,0.222594927,0.026907079,0.315546655,1.788097712,,0.114966611,0.026907079,6.951810804,0.022014883,14.15312361,0.229933222
2016/8/26 8:25,2016/8/27 8:50,2016/8/26,2016/8/27,8:25,8:50,3.823769972,1.065353831,4.889123803,2.517644564,0.010194469,0.369581346,0.580686491,0.213386606,0.128866935,0.001097734,0.014553023,0.068597629,0.298666074,0.004778657,0.0669012,4.735649263,0.188756959,0.733523877,8.580078963,0.038229257,0.344063317,7.170375096,19.97717633,0.131413072,0.468308403,0.35600996,0.499369675,1.206610937,0.0167253,0.193535616,0.0669012,7.550278341,0.090794486,22.89454654,0.360788617
2016/8/27 9:00,2016/8/28 8:10,2016/8/27,2016/8/28,9:00,8:10,3.518749602,0.796001783,4.314751385,2.542850213,0.027364975,0.30885487,0.726514893,0.150139126,0.127449847,0,0.014673789,0.094476462,0.234197175,,,4.563067544,0.737847015,,6.912594044,0.672372535,0.425584114,3.951132989,18.53683233,0.085620473,0.191386939,0.130948958,0.465876101,1.206241365,0.060437981,0.103248217,0.073029227,5.426827018,0.090656971,18.89946022,0.397883373
2016/8/28 8:26,2016/8/29 8:47,2016/8/28,2016/8/29,8:26,8:47,3.580963457,1.148516291,4.729479748,2.172880748,0.020285034,0.365721602,0.799342166,0.230669507,0.186116752,0.029966492,0.018421866,0.10186686,0.174898526,,,3.193694996,0.158127434,0.740323896,5.774047216,0.009583481,0.282712685,4.837261962,23.8413045,0.088647198,0.3378177,0.203648968,0.404902066,0.831366964,0.026354572,0.218024189,0.052709145,3.950789983,0.071876106,20.86802957,0.232399411
